image_index,resolution1,resolution2,similarity
10,920x1300,355x503,0.96875
10,920x1300,500x500,0.625
10,920x1300,1000x1000,0.59375
10,920x1300,920x1300,1.0
11,83x110,83x110,1.0
11,83x110,128x128,0.5625
11,83x110,355x503,0.84375
11,83x110,500x500,0.59375
11,83x110,1000x1000,0.625
11,83x110,920x1300,0.84375
11,128x128,83x110,0.5625
11,128x128,128x128,1.0
11,128x128,355x503,0.5
11,128x128,500x500,0.96875
11,128x128,1000x1000,0.9375
11,128x128,920x1300,0.5
11,355x503,83x110,0.84375
11,355x503,128x128,0.5
11,355x503,355x503,1.0
11,355x503,500x500,0.53125
11,355x503,1000x1000,0.53125
11,355x503,920x1300,1.0
11,500x500,83x110,0.59375
11,500x500,128x128,0.96875
11,500x500,355x503,0.53125
11,500x500,500x500,1.0
11,500x500,1000x1000,0.96875
11,500x500,920x1300,0.53125
11,1000x1000,83x110,0.625
11,1000x1000,128x128,0.9375
11,1000x1000,355x503,0.53125
11,1000x1000,500x500,0.96875
11,1000x1000,1000x1000,1.0
11,1000x1000,920x1300,0.53125
11,920x1300,83x110,0.84375
11,920x1300,128x128,0.5
11,920x1300,355x503,1.0
11,920x1300,500x500,0.53125
11,920x1300,1000x1000,0.53125
11,920x1300,920x1300,1.0
12,83x110,83x110,1.0
12,83x110,128x128,0.5
12,83x110,355x503,0.90625
12,83x110,500x500,0.5
12,83x110,1000x1000,0.5
12,83x110,920x1300,0.90625
12,128x128,83x110,0.5
12,128x128,128x128,1.0
12,128x128,355x503,0.46875
12,128x128,500x500,1.0
12,128x128,1000x1000,1.0
12,128x128,920x1300,0.46875
12,355x503,83x110,0.90625
12,355x503,128x128,0.46875
12,355x503,355x503,1.0
12,355x503,500x500,0.46875
12,355x503,1000x1000,0.46875
12,355x503,920x1300,1.0
12,500x500,83x110,0.5
12,500x500,128x128,1.0
12,500x500,355x503,0.46875
12,500x500,500x500,1.0
12,500x500,1000x1000,1.0
12,500x500,920x1300,0.46875
12,1000x1000,83x110,0.5
12,1000x1000,128x128,1.0
12,1000x1000,355x503,0.46875
12,1000x1000,500x500,1.0
12,1000x1000,1000x1000,1.0
12,1000x1000,920x1300,0.46875
12,920x1300,83x110,0.90625
12,920x1300,128x128,0.46875
12,920x1300,355x503,1.0
12,920x1300,500x500,0.46875
12,920x1300,1000x1000,0.46875
12,920x1300,920x1300,1.0
13,83x110,83x110,1.0
13,83x110,128x128,0.75
13,83x110,355x503,0.78125
13,83x110,500x500,0.75
13,83x110,1000x1000,0.75
13,83x110,920x1300,0.78125
13,128x128,83x110,0.75
13,128x128,128x128,1.0
13,128x128,355x503,0.75
13,128x128,500x500,0.96875
13,128x128,1000x1000,0.96875
13,128x128,920x1300,0.75
13,355x503,83x110,0.78125
13,355x503,128x128,0.75
13,355x503,355x503,1.0
13,355x503,500x500,0.75
13,355x503,1000x1000,0.75
13,355x503,920x1300,1.0
13,500x500,83x110,0.75
13,500x500,128x128,0.96875
13,500x500,355x503,0.75
13,500x500,500x500,1.0
13,500x500,1000x1000,1.0
13,500x500,920x1300,0.75
13,1000x1000,83x110,0.75
13,1000x1000,128x128,0.96875
13,1000x1000,355x503,0.75
13,1000x1000,500x500,1.0
13,1000x1000,1000x1000,1.0
13,1000x1000,920x1300,0.75
13,920x1300,83x110,0.78125
13,920x1300,128x128,0.75
13,920x1300,355x503,1.0
13,920x1300,500x500,0.75
13,920x1300,1000x1000,0.75
13,920x1300,920x1300,1.0
14,83x110,83x110,1.0
14,83x110,128x128,0.71875
14,83x110,355x503,0.8125
14,83x110,500x500,0.6875
14,83x110,1000x1000,0.6875
14,83x110,920x1300,0.84375
14,128x128,83x110,0.71875
14,128x128,128x128,1.0
14,128x128,355x503,0.65625
14,128x128,500x500,0.96875
14,128x128,1000x1000,0.96875
14,128x128,920x1300,0.65625
14,355x503,83x110,0.8125
14,355x503,128x128,0.65625
14,355x503,355x503,1.0
14,355x503,500x500,0.6875
14,355x503,1000x1000,0.6875
14,355x503,920x1300,0.96875
14,500x500,83x110,0.6875
14,500x500,128x128,0.96875
14,500x500,355x503,0.6875
14,500x500,500x500,1.0
14,500x500,1000x1000,1.0
14,500x500,920x1300,0.6875
14,1000x1000,83x110,0.6875
14,1000x1000,128x128,0.96875
14,1000x1000,355x503,0.6875
14,1000x1000,500x500,1.0
14,1000x1000,1000x1000,1.0
14,1000x1000,920x1300,0.6875
14,920x1300,83x110,0.84375
14,920x1300,128x128,0.65625
14,920x1300,355x503,0.96875
14,920x1300,500x500,0.6875
14,920x1300,1000x1000,0.6875
14,920x1300,920x1300,1.0
15,83x110,83x110,1.0
15,83x110,128x128,0.75
15,83x110,355x503,0.875
15,83x110,500x500,0.75
15,83x110,1000x1000,0.71875
15,83x110,920x1300,0.875
15,128x128,83x110,0.75
15,128x128,128x128,1.0
15,128x128,355x503,0.65625
15,128x128,500x500,1.0
15,128x128,1000x1000,0.96875
15,128x128,920x1300,0.6875
15,355x503,83x110,0.875
15,355x503,128x128,0.65625
15,355x503,355x503,1.0
15,355x503,500x500,0.65625
15,355x503,1000x1000,0.625
15,355x503,920x1300,0.96875
15,500x500,83x110,0.75
15,500x500,128x128,1.0
15,500x500,355x503,0.65625
15,500x500,500x500,1.0
15,500x500,1000x1000,0.96875
15,500x500,920x1300,0.6875
15,1000x1000,83x110,0.71875
15,1000x1000,128x128,0.96875
15,1000x1000,355x503,0.625
15,1000x1000,500x500,0.96875
15,1000x1000,1000x1000,1.0
15,1000x1000,920x1300,0.65625
15,920x1300,83x110,0.875
15,920x1300,128x128,0.6875
15,920x1300,355x503,0.96875
15,920x1300,500x500,0.6875
15,920x1300,1000x1000,0.65625
15,920x1300,920x1300,1.0
16,83x110,83x110,1.0
16,83x110,128x128,0.75
16,83x110,355x503,0.90625
16,83x110,500x500,0.78125
16,83x110,1000x1000,0.75
16,83x110,920x1300,0.875
16,128x128,83x110,0.75
16,128x128,128x128,1.0
16,128x128,355x503,0.6875
16,128x128,500x500,0.96875
16,128x128,1000x1000,0.9375
16,128x128,920x1300,0.65625
16,355x503,83x110,0.90625
16,355x503,128x128,0.6875
16,355x503,355x503,1.0
16,355x503,500x500,0.71875
16,355x503,1000x1000,0.6875
16,355x503,920x1300,0.96875
16,500x500,83x110,0.78125
16,500x500,128x128,0.96875
16,500x500,355x503,0.71875
16,500x500,500x500,1.0
16,500x500,1000x1000,0.96875
16,500x500,920x1300,0.6875
16,1000x1000,83x110,0.75
16,1000x1000,128x128,0.9375
16,1000x1000,355x503,0.6875
16,1000x1000,500x500,0.96875
16,1000x1000,1000x1000,1.0
16,1000x1000,920x1300,0.65625
